account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,sub_plan_tier,mrr_amount,arr_amount,billing_frequency,sub_is_trial,upgrade_flag,downgrade_flag,sub_churn_flag,auto_renew_flag,ticket_count,avg_resolution_hrs,avg_first_response_mins,avg_satisfaction,escalation_count,urgent_ticket_count,total_usage_events,total_usage_count,avg_duration_secs,total_errors,beta_feature_uses,unique_features,churn_reason,refund_usd,is_reactivation,tenure_days,churn_label
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,Basic,836,10032,monthly,False,False,False,False,True,2.0,23.0,91.0,3.0,0.0,1.0,55,535,2769.8,38,4,27,budget,0.0,False,563,retained
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,Pro,882,10584,monthly,False,False,False,False,True,3.0,38.0,73.33333333333333,4.0,0.0,2.0,35,355,2889.6,14,2,23,,,,989,churned
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,Pro,98,1176,annual,False,False,False,False,True,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,1.0,83,821,3026.626506024096,48,5,34,features,62.66,False,613,retained
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,Pro,1176,14112,monthly,False,True,False,False,True,2.0,29.0,174.0,,0.0,0.0,41,382,2500.682926829268,21,5,26,support,0.0,False,979,retained
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,Enterprise,21691,260292,monthly,False,False,False,True,True,7.0,42.285714285714285,107.85714285714286,3.8,1.0,2.0,58,579,3720.3275862068967,31,4,32,budget,0.0,False,552,churned
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,Enterprise,0,0,annual,True,False,False,False,True,4.0,43.0,74.75,3.0,0.0,1.0,47,457,2990.2340425531916,21,6,28,unknown,0.0,False,933,retained
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,Enterprise,5174,62088,monthly,False,False,False,False,True,6.0,39.166666666666664,89.83333333333333,3.8,3.0,0.0,39,373,2999.076923076923,14,3,26,,,,785,retained
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,Pro,1568,18816,annual,False,False,False,False,True,3.0,42.666666666666664,57.0,,0.0,0.0,41,382,2719.6585365853657,23,5,29,features,0.0,False,1113,retained
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,Pro,0,0,annual,True,True,False,False,True,4.0,32.5,75.25,3.6666666666666665,0.0,1.0,48,472,3029.7708333333335,29,5,27,features,0.0,False,599,churned
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,Pro,1666,19992,monthly,False,False,False,False,True,3.0,31.333333333333332,71.33333333333333,3.5,0.0,0.0,27,257,2734.0,14,2,23,,,,1090,churned
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,Pro,882,10584,annual,False,False,False,False,False,3.0,32.666666666666664,80.66666666666667,5.0,0.0,0.0,101,1053,3230.5247524752476,55,13,38,support,22.66,False,584,churned
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,Basic,1121,13452,monthly,False,False,False,False,True,2.0,20.5,125.5,5.0,0.0,2.0,55,562,2730.6545454545453,22,5,29,,,,540,retained
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,Enterprise,0,0,annual,True,False,False,False,True,3.0,40.333333333333336,68.33333333333333,5.0,1.0,0.0,64,670,3394.921875,30,10,30,,,,1114,retained
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,Pro,1470,17640,annual,False,False,False,False,True,4.0,26.75,95.0,4.0,0.0,1.0,69,642,2312.478260869565,26,8,34,competitor,0.0,False,838,retained
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,Enterprise,6368,76416,annual,False,False,False,False,True,2.0,50.5,118.0,3.0,0.0,1.0,70,658,2474.7428571428572,49,8,32,unknown,0.0,True,518,retained
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,Basic,532,6384,annual,False,True,False,False,True,2.0,24.5,30.5,4.0,0.0,0.0,54,531,3163.4444444444443,42,7,31,competitor,128.79,False,967,retained
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,Pro,735,8820,annual,False,False,False,False,True,6.0,50.166666666666664,94.83333333333333,4.25,1.0,1.0,37,367,2871.864864864865,13,3,25,features,0.0,True,513,retained
